0,1001,0,1352909136,172.16.1.106,1000,1,20
0,1001,0,1352909137,172.16.1.101,50000,1,5
1,1002,1,1352909140,172.16.1.125,1000,1,50
0,1001,0,1352909142,172.16.1.108,5000000,3,15
1,1002,1,1352909143,172.16.1.125,1000,10,3
1,1001,0,1352909145,172.16.1.101,500,50,5
0,1001,0,1352909146,172.16.1.100,50000,5,3
0,1001,0,1352909149,172.16.1.105,20000,30,3
0,1001,0,1352909151,172.16.1.106,1000,3,50
1,1002,1,1352909154,172.16.1.117,500,30,5
1,1002,1,1352909157,172.16.1.112,5000000,5,10
1,1001,0,1352909160,172.16.1.103,1000000,30,10
0,1002,1,1352909163,172.16.1.120,1000000,20,3
1,1002,1,1352909170,172.16.1.123,50000,5,20
0,1001,0,1352909173,172.16.1.100,500000,1,20
0,1002,1,1352909175,172.16.1.113,100000,1,5
1,1001,0,1352909176,172.16.1.110,500000,2,10
1,1001,0,1352909179,172.16.1.106,1000000,1,15
0,1002,1,1352909188,172.16.1.126,10000,10,20
0,1001,0,1352909189,172.16.1.108,100000,4,15
0,1002,1,1352909190,172.16.1.111,20000,30,3
0,1002,1,1352909192,172.16.1.119,500000,5,50
1,1001,0,1352909195,172.16.1.108,50000,30,10
1,1002,1,1352909199,172.16.1.115,10000,1,15
1,1002,1,1352909204,172.16.1.112,100000,5,50
0,1001,0,1352909205,172.16.1.107,500,10,3
1,1001,0,1352909217,172.16.1.109,5000000,1,3
0,1002,1,1352909219,172.16.1.126,5000000,5,50
1,1001,0,1352909220,172.16.1.110,500000,1,15
1,1001,0,1352909221,172.16.1.100,20000,10,20
0,1002,1,1352909222,172.16.1.114,100000,1,10
1,1002,1,1352909223,172.16.1.116,1000000,1,20
0,1001,0,1352909230,172.16.1.102,100,10,3
1,1002,1,1352909232,172.16.1.126,10000,5,15
1,1002,1,1352909235,172.16.1.119,10000,20,3
1,1002,1,1352909251,172.16.1.122,100000,5,20
1,1002,1,1352909257,172.16.1.114,10000,20,15
1,1002,1,1352909259,172.16.1.126,10000,3,20
0,1002,1,1352909262,172.16.1.126,20000,1,5
1,1001,0,1352909263,172.16.1.105,100,1,3
0,1001,0,1352909266,172.16.1.109,10000,30,3
1,1002,1,1352909273,172.16.1.121,100,1,5
1,1002,1,1352909277,172.16.1.122,100,50,15
1,1002,1,1352909286,172.16.1.124,500,3,10
1,1002,1,1352909287,172.16.1.118,5000000,4,3
0,1002,1,1352909290,172.16.1.120,1000000,20,10
0,1002,1,1352909294,172.16.1.117,100,5,5
1,1002,1,1352909296,172.16.1.121,100,1,15
0,1001,0,1352909305,172.16.1.104,5000000,1,10
0,1002,1,1352909308,172.16.1.126,20000,10,20
1,1001,0,1352909309,172.16.1.108,100,10,5
1,1002,1,1352909312,172.16.1.115,500,10,20
0,1002,1,1352909314,172.16.1.117,100,1,5
1,1001,0,1352909316,172.16.1.107,20000,3,15
0,1001,0,1352909320,172.16.1.104,50000,10,3
0,1001,0,1352909322,172.16.1.103,1000000,4,3
0,1002,1,1352909330,172.16.1.117,500000,5,20
0,1002,1,1352909331,172.16.1.112,5000000,20,15
1,1002,1,1352909346,172.16.1.125,1000000,30,10
0,1002,1,1352909347,172.16.1.124,100,4,10
0,1001,0,1352909349,172.16.1.105,1000,1,15
1,1002,1,1352909354,172.16.1.116,500000,1,50
0,1001,0,1352909362,172.16.1.101,5000000,1,15
1,1002,1,1352909367,172.16.1.117,100000,50,20
0,1002,1,1352909368,172.16.1.119,50000,5,10
1,1002,1,1352909371,172.16.1.111,50000,50,15
1,1002,1,1352909372,172.16.1.113,500,50,20
0,1002,1,1352909384,172.16.1.114,500000,20,50
0,1001,0,1352909386,172.16.1.110,500000,50,20
1,1001,0,1352909387,172.16.1.105,1000000,50,15
1,1002,1,1352909388,172.16.1.120,500,10,15
0,1002,1,1352909390,172.16.1.124,500000,3,10
1,1002,1,1352909393,172.16.1.112,10000,1,10
